FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
772,4837900,37900,Rosebud-Lott ISD,73905,73905,166850,57950,85233,790,5007616,3177048,2070045,2939556,0,13194265,17452.73,38.00%,24.10%,15.70%,22.30%,0.00%,19885690,32282,B,86,46%,52%,47%,53%
773,4807380,7380,Abbott ISD,109901,109901,120778,55420,90768,284,1927983,852130,11777773,1607174,0,16165060,56919.23,11.90%,5.30%,72.90%,9.90%,0.00%,19485245,82916,B,83,31%,50%,38%,45%
774,4834560,34560,Penelope ISD,109914,109914,140000,54159,79299,216,1415134,926460,445361,1371827,0,4158782,19616.9,34.00%,22.30%,10.70%,33.00%,0.00%,0,0,A,92,55%,73%,33%,51%
775,4820610,20610,Gholson ISD,161925,161925,111797,50206,89162,265,1558066,963469,95776,1301051,0,3918362,14512.45,39.80%,24.60%,2.40%,33.20%,0.00%,0,0,B,87,45%,74%,59%,59%
776,4821810,21810,Groesbeck ISD,147902,147902,150000,53721,75079,1495,8773348,6126546,3674987,5047192,0,23622073,15309.19,37.10%,25.90%,15.60%,21.40%,0.00%,4117687,3119,D,69,51%,67%,62%,62%
777,4833420,33420,Oglesby ISD,50904,50904,129677,52978,84170,237,1589171,851069,501289,1256809,0,4198338,20580.09,37.90%,20.30%,11.90%,29.90%,0.00%,1149110,5085,B,83,47%,78%,95%,71%
778,4809860,9860,Belton ISD,14903,14903,262640,59955,100146,13697,81822707,54548319,120395794,38299903,0,295066723,21369.26,27.70%,18.50%,40.80%,13.00%,0.00%,585286404,45410,B,80,45%,60%,49%,54%
779,4843260,43260,Troy ISD,14910,14910,160000,57116,93920,1732,9875611,4826494,2176990,5289599,0,22168694,12994.55,44.50%,21.80%,9.80%,23.90%,0.00%,38116375,23587,B,82,45%,54%,54%,44%
780,4809150,9150,Axtell ISD,161918,161918,161262,53753,89469,834,6120478,3986539,1065830,3327464,0,14500311,17160.13,42.20%,27.50%,7.40%,22.90%,0.00%,3430761,4251,B,85,30%,55%,60%,47%
781,4831620,31620,Mount Calm ISD,109910,109910,115000,62377,89100,168,1651961,963616,5880672,1158646,0,9654895,60722.61,17.10%,10.00%,60.90%,12.00%,0.00%,14369367,114955,C,78,50%,65%,44%,71%
782,4815120,15120,Coolidge ISD,147901,147901,146494,58204,89877,287,2159636,1158939,5701993,1579693,0,10600261,35933.09,20.40%,10.90%,53.80%,14.90%,0.00%,10863446,39218,B,89,47%,52%,49%,42%
783,4845040,45040,West ISD,161916,161916,141750,57536,92994,1300,8421720,5902864,5503983,5819093,0,25647660,20518.13,32.80%,23.00%,21.50%,22.70%,0.00%,28666776,25641,A,91,30%,36%,43%,45%
784,4829190,29190,Mart ISD,161908,161908,138240,60271,101379,605,4358222,2195749,6594406,2172571,0,15320948,25282.09,28.40%,14.30%,43.00%,14.20%,0.00%,43778658,79309,B,86,45%,62%,48%,69%
785,4822140,22140,Hallsburg ISD,161924,161924,111240,59400,111240,131,1084728,402760,150338,644589,0,2282415,15740.79,47.50%,17.60%,6.60%,28.20%,0.00%,2522124,21374,D,69,61%,72%,.,94%
786,4810910,10910,Bosqueville ISD,161923,161923,135960,56962,86478,729,4892328,2401834,6474390,3096603,0,16865155,23326.63,29.00%,14.20%,38.40%,18.40%,0.00%,39418018,58053,B,80,35%,50%,52%,63%
787,4814970,14970,Connally ISD,161921,161921,186000,56912,87542,2269,16104277,8365405,3967410,11825699,0,40262791,17589.69,40.00%,20.80%,9.90%,29.40%,0.00%,7590350,3632,D,63,70%,84%,71%,83%
788,4826280,26280,La Vega ISD,161906,161906,320438,59989,83144,3093,20010592,12727283,5167731,12283053,0,50188659,16086.11,39.90%,25.40%,10.30%,24.50%,0.00%,38794391,14299,D,69,61%,75%,65%,75%
789,4811730,11730,Bruceville-Eddy ISD,161919,161919,125250,52829,85982,565,4484815,2773521,3359505,2892812,0,13510653,23055.72,33.20%,20.50%,24.90%,21.40%,0.00%,5445300,9470,C,72,60%,72%,71%,61%
790,4837110,37110,Riesel ISD,161912,161912,141120,53567,85527,689,3682929,2152059,4221138,2676719,0,12732845,19528.9,28.90%,16.90%,33.20%,21.00%,0.00%,28745019,51793,A,90,30%,47%,45%,43%
791,4829130,29130,Marlin ISD,73903,73903,258500,58708,93790,843,5798981,6004902,12763544,4297899,0,28865326,31966.03,20.10%,20.80%,44.20%,14.90%,0.00%,47953988,64454,C,73,77%,74%,75%,88%
792,4813920,13920,Chilton ISD,73901,73901,139606,53846,98489,566,4056264,2699851,9899157,2104977,0,18760249,32797.64,21.60%,14.40%,52.80%,11.20%,0.00%,23236392,46288,B,86,44%,70%,59%,70%
793,4810350,10350,Bland ISD,116915,116915,137920,57672,99677,777,5050671,2924948,1181470,3367078,0,12524167,15773.51,40.30%,23.40%,9.40%,26.90%,0.00%,17490418,23992,B,89,40%,49%,29%,41%
794,4842630,42630,Thorndale ISD,166905,166905,131580,60986,90368,637,4291894,2550436,114046,2090637,0,9047013,15128.78,47.40%,28.20%,1.30%,23.10%,0.00%,326540,642,B,81,44%,56%,45%,45%
795,4827330,27330,Lexington ISD,144902,144902,145000,57974,86093,1052,6833423,3670797,1296647,4589113,0,16389980,15375.22,41.70%,22.40%,7.90%,28.00%,0.00%,10014848,11741,B,82,42%,50%,42%,51%
796,4842660,42660,Thrall ISD,246912,246912,164324,59121,93671,873,5614030,4114908,21484158,3251677,0,34464773,40451.61,16.30%,11.90%,62.30%,9.40%,0.00%,94095042,100208,A,92,26%,32%,29%,42%
797,4834830,34830,Pflugerville ISD,227904,227904,345225,62620,110490,25477,171079257,85790148,88026029,114429874,8002828,467328136,18157.3,36.60%,18.40%,18.80%,24.50%,1.70%,1123590761,50950,C,79,45%,60%,48%,56%
798,4828890,28890,Manor ISD,227907,227907,250000,61398,107142,9961,55495452,43535332,110398027,42430275,0,251859086,26077.77,22.00%,17.30%,43.80%,16.80%,0.00%,740177878,78004,D,60,68%,81%,66%,82%
799,4818360,18360,Elgin ISD,11902,11902,201572,59740,95425,5959,28345469,25235807,105224801,17550394,0,176356471,30858.53,16.10%,14.30%,59.70%,10.00%,0.00%,580446597,101423,D,66,67%,81%,70%,80%
800,4815420,15420,Coupland ISD,246914,246914,117000,55093,94441,323,2482493,1111577,3248567,1165845,0,8008482,27055.68,31.00%,13.90%,40.60%,14.60%,0.00%,47570600,158042,B,88,59%,60%,90%,81%
801,4823670,23670,Howe ISD,91905,91905,174000,61584,102798,1265,8124401,4478528,2361676,4066226,0,19030831,14844.64,42.70%,23.50%,12.40%,21.40%,0.00%,27858100,23892,B,80,39%,55%,38%,35%
802,4842870,42870,Tioga ISD,91907,91907,136800,61096,92459,664,3911142,2125870,2186299,1916700,5000,10145011,14738.39,38.60%,21.00%,21.60%,18.90%,0.00%,49224726,84145,B,87,43%,57%,50%,60%
803,4814580,14580,Collinsville ISD,91902,91902,131500,59247,96220,600,3647712,2384343,1578667,2091065,0,9701787,16902.07,37.60%,24.60%,16.30%,21.60%,0.00%,39048693,60918,B,82,52%,59%,64%,69%
804,4838400,38400,S and S Cons ISD,91914,91914,144462,62530,90477,944,6562186,3741565,1984347,3024538,0,15312636,16034.17,42.90%,24.40%,13.00%,19.80%,0.00%,36492418,41897,C,78,48%,67%,46%,41%
805,4812700,12700,Canadian ISD,106901,106901,170000,59035,97053,758,6149800,3712711,4224218,7378064,350831,21815624,26999.74,28.20%,17.00%,19.40%,33.80%,1.60%,21666846,32829,B,89,30%,43%,32%,45%
806,4819500,19500,Follett ISD,148902,148902,107100,49300,88870,182,1236271,735992,245799,1028192,0,3246254,18764.47,38.10%,22.70%,7.60%,31.70%,0.00%,657800,5021,C,72,56%,70%,58%,67%
807,4810830,10830,Booker ISD,148901,148901,130000,54511,92500,343,2671103,1776740,2495562,2214669,0,9158074,27584.56,29.20%,19.40%,27.20%,24.20%,0.00%,6186317,23794,B,84,22%,34%,31%,57%
808,4811400,11400,Fort Elliott Cons ISD,242906,242906,100000,48890,85000,141,1216142,1096648,478711,2016022,5310696,10118219,30427.36,12.00%,10.80%,4.70%,19.90%,52.50%,1849250,11558,B,84,36%,56%,71%,65%
809,4845180,45180,West Sabine ISD,202905,202905,141440,58832,91299,638,4291515,3076426,2803977,2932004,0,13103922,21203.76,32.70%,23.50%,21.40%,22.40%,0.00%,10287664,21300,C,73,60%,75%,58%,58%
810,4838760,38760,San Augustine ISD,203901,203901,142500,61844,92928,597,4864639,3810274,4439558,3674790,0,16789261,26992.38,29.00%,22.70%,26.40%,21.90%,0.00%,47487185,111735,C,73,68%,78%,79%,82%
811,4811520,11520,Brookeland ISD,121902,121902,104500,53542,?,381,3039694,1435081,37226,1958233,0,6470234,17439.98,47.00%,22.20%,0.60%,30.30%,0.00%,0,0,B,87,33%,57%,58%,54%
812,4846320,46320,Woden ISD,174906,174906,147800,54099,85349,885,6039260,2631699,1455682,3808550,0,13935191,16279.43,43.30%,18.90%,10.40%,27.30%,0.00%,10103050,12597,B,87,42%,56%,30%,62%
813,4811430,11430,Broaddus ISD,203902,203902,155000,59207,94792,377,2655660,1744798,4130077,1685501,0,10216036,26127.97,26.00%,17.10%,40.40%,16.50%,0.00%,28414065,89352,A,96,31%,46%,34%,37%
814,4828550,28550,Lufkin ISD,3903,3903,237895,55691,89880,6865,41007580,31488356,15476454,22194263,0,110166653,15635.35,37.20%,28.60%,14.00%,20.10%,0.00%,123508589,21771,B,80,55%,65%,52%,63%
815,4824000,24000,Huntington ISD,3904,3904,170000,53461,81500,1564,9867406,6494899,1555099,5811352,0,23728756,14923.75,41.60%,27.40%,6.60%,24.50%,0.00%,12256975,9026,B,81,44%,60%,46%,57%
816,4813980,13980,Chireno ISD,174901,174901,109090,54998,83379,365,2693105,1360819,618467,1544029,0,6216420,17710.6,43.30%,21.90%,9.90%,24.80%,0.00%,520917,2412,B,84,44%,59%,44%,66%
817,4829250,29250,Martinsville ISD,174909,174909,115000,54911,81000,313,2768045,1138997,500426,3185024,0,7592492,23951.08,36.50%,15.00%,6.60%,41.90%,0.00%,3534831,13390,B,81,34%,57%,55%,49%
818,4832090,32090,Nacogdoches ISD,174904,174904,239580,54655,89736,5766,34275603,23892360,20096858,22181176,0,100445997,17132.18,34.10%,23.80%,20.00%,22.10%,0.00%,137516713,28111,D,68,62%,77%,59%,73%
819,4814310,14310,Cleburne ISD,126903,126903,210000,68985,104927,6877,49884763,26791793,22268265,18791446,0,117736267,16624.72,42.40%,22.80%,18.90%,16.00%,0.00%,246985425,43862,C,75,56%,65%,59%,65%
820,4822230,22230,Hamilton ISD,97902,97902,144900,57318,91485,823,6433285,2613305,133187,3764080,0,12943857,15139.01,49.70%,20.20%,1.00%,29.10%,0.00%,0,0,B,81,38%,59%,56%,56%
821,4818780,18780,Evant ISD,50901,50901,105957,50197,80000,198,1455380,998435,145870,1535358,0,4135043,20269.82,35.20%,24.10%,3.50%,37.10%,0.00%,0,0,D,69,65%,80%,65%,72%
822,4814400,14400,Clifton ISD,18901,18901,145500,57567,91519,1001,7428042,3762354,1862595,3186973,0,16239964,15843.87,45.70%,23.20%,11.50%,19.60%,0.00%,23831381,25819,B,82,40%,58%,48%,50%
823,4830300,30300,Meridian ISD,18902,18902,96000,53109,75357,382,3030801,1894832,1752467,3109057,0,9787157,28451.04,31.00%,19.40%,17.90%,31.80%,0.00%,6638341,24586,F,58,56%,79%,59%,81%
824,4815570,15570,Cranfills Gap ISD,18908,18908,205920,52188,73000,116,1253441,568057,91366,1171499,0,3084363,24096.59,40.60%,18.40%,3.00%,38.00%,0.00%,0,0,A,91,46%,46%,71%,74%
825,4808520,8520,Aquilla ISD,109912,109912,127000,53948,67605,332,2261757,1445745,498649,3075814,0,7281965,22685.25,31.10%,19.90%,6.80%,42.20%,0.00%,16889945,58241,A,92,38%,59%,63%,44%
826,4845720,45720,Whitney ISD,109911,109911,155000,52857,79092,1454,9057950,5387374,2497446,5970758,0,22913528,15534.6,39.50%,23.50%,10.90%,26.10%,0.00%,41797413,35302,C,75,50%,62%,37%,54%
827,4843760,43760,Valley Mills ISD,18904,18904,124775,54043,81678,669,3876655,2377920,1659429,3622888,0,11536892,16941.1,33.60%,20.60%,14.40%,31.40%,0.00%,19485266,29794,C,79,51%,58%,62%,59%
828,4824900,24900,Jonesboro ISD,50909,50909,133000,54351,81500,337,1830078,1253133,1330720,1146504,0,5560435,17430.83,32.90%,22.50%,23.90%,20.60%,0.00%,453588,1874,D,66,63%,78%,61%,56%
829,4820500,20500,Gatesville ISD,50902,50902,158912,53908,90621,2668,16127649,10401575,2097882,6461836,0,35088942,13020.02,46.00%,29.60%,6.00%,18.40%,0.00%,21034177,8721,C,78,45%,63%,45%,52%
830,4830640,30640,Midway ISD (McLennan),161903,161903,267650,56296,94526,8824,46876290,28583666,26532145,24285617,0,126277718,14270.28,37.10%,22.60%,21.00%,19.20%,0.00%,211151453,25379,A,90,30%,39%,36%,39%
831,4837410,37410,Robinson ISD,161922,161922,213397,56918,97038,2378,14565912,7931901,3006774,9241347,0,34745934,14399.48,41.90%,22.80%,8.70%,26.60%,0.00%,23974567,10741,B,89,30%,44%,47%,46%
832,4813960,13960,China Spring ISD,161920,161920,184000,58408,93792,3013,16695164,8058808,8475137,10519692,0,43748801,14405.27,38.20%,18.40%,19.40%,24.00%,0.00%,112748970,38547,B,87,34%,47%,42%,38%
833,4844280,44280,Waco ISD,161914,161914,160871,59883,97847,13376,92442487,59984173,172506129,52648636,0,377581425,27933.82,24.50%,15.90%,45.70%,13.90%,0.00%,720525809,64621,D,63,68%,78%,67%,76%
834,4815600,15600,Crawford ISD,161901,161901,135999,60175,87537,596,3881984,2214625,3789831,2143679,0,12030119,20083.67,32.30%,18.40%,31.50%,17.80%,0.00%,17576350,30356,A,90,17%,32%,54%,50%
835,4828200,28200,Lorena ISD,161907,161907,180775,57904,95021,1817,10553339,6373097,3495744,5932057,0,26354237,14184.2,40.00%,24.20%,13.30%,22.50%,0.00%,31932102,16877,A,91,31%,42%,33%,41%
836,4829820,29820,McGregor ISD,161909,161909,155000,60280,92924,1495,11318778,5741977,3943354,4675417,0,25679526,16762.09,44.10%,22.40%,15.40%,18.20%,0.00%,30847520,19761,C,77,47%,62%,55%,69%
837,4831290,31290,Moody ISD,161910,161910,143000,57129,84560,751,4875095,3108217,1978902,4151302,0,14113516,19413.36,34.50%,22.00%,14.00%,29.40%,0.00%,31153850,44379,B,84,51%,61%,55%,60%
838,4838220,38220,Royse City ISD,199902,199902,242500,61273,101713,10034,54134112,32268266,162805386,25711504,0,274919268,29337.24,19.70%,11.70%,59.20%,9.40%,0.00%,1171067175,105123,C,77,48%,56%,48%,57%
839,4836240,36240,Quinlan ISD,116908,116908,244379,71283,101614,2936,18554536,11646108,3978553,9954381,0,44133578,15276.42,42.00%,26.40%,9.00%,22.60%,0.00%,50601000,17317,C,72,64%,74%,55%,63%
840,4842450,42450,Terrell ISD,129906,129906,293480,67467,103398,5283,28549109,18924175,12486572,20570380,0,80530236,15324.5,35.50%,23.50%,15.50%,25.50%,0.00%,87927793,18133,C,71,62%,74%,64%,76%
841,4837650,37650,Rockwall ISD,199901,199901,293760,64067,106919,19235,101826597,55472244,265919952,50065682,0,473284475,25177.38,21.50%,11.70%,56.20%,10.60%,0.00%,1651312959,92237,B,89,30%,38%,33%,39%
842,4812390,12390,Caddo Mills ISD,116901,116901,254576,63710,97004,3073,19169485,10413766,28788162,5893457,0,64264870,22660.39,29.80%,16.20%,44.80%,9.20%,0.00%,327892857,98289,B,85,37%,44%,47%,49%
843,4814850,14850,Community ISD,43918,43918,275783,70667,98947,5271,26890633,16707107,133834120,13404278,0,190836138,41235.12,14.10%,8.80%,70.10%,7.00%,0.00%,650206157,105075,C,76,48%,66%,56%,62%
844,4819080,19080,Farmersville ISD,43904,43904,262500,71461,100775,2397,13639123,9048822,28541423,9309885,0,60539253,27074.8,22.50%,14.90%,47.10%,15.40%,0.00%,91167475,37829,B,84,39%,62%,47%,48%
845,4830600,30600,Midlothian ISD,70908,70908,245000,63940,98108,11356,59767048,32482585,48866523,25767996,0,166884152,15030.55,35.80%,19.50%,29.30%,15.40%,0.00%,527707894,49499,B,85,36%,45%,43%,47%
846,4813230,13230,Cedar Hill ISD,57904,57904,298700,62788,101654,6253,37858466,25938004,20834889,19083228,1001330,104715917,16369.1,36.20%,24.80%,19.90%,18.20%,1.00%,604705809,133519,C,74,54%,70%,61%,68%
847,4844010,44010,Venus ISD,126908,126908,185000,64170,88943,2283,14551050,8622394,2399325,9672353,0,35245122,15270.85,41.30%,24.50%,6.80%,27.40%,0.00%,38328700,18579,D,69,65%,80%,60%,65%
848,4800011,11,Alvarado ISD,126901,126901,13500,8142,13586,3788,23291763,10328661,42593688,12200259,0,88414371,23377.68,26.30%,11.70%,48.20%,13.80%,0.00%,311089653,91122,C,76,57%,67%,54%,64%
849,4816500,16500,Decatur ISD,249905,249905,186000,61433,108280,3786,22058047,12632320,10768690,11130009,0,56589066,14848.88,39.00%,22.30%,19.00%,19.70%,0.00%,65977241,19052,C,76,45%,62%,50%,61%
850,4835310,35310,Ponder ISD,61906,61906,169597,57811,98789,1719,9014606,5271283,18767244,5830746,109626,38993505,23186.57,23.10%,13.50%,48.10%,15.00%,0.30%,101743863,60346,C,78,47%,54%,59%,59%
851,4808670,8670,Argyle ISD,61910,61910,295500,65216,104176,6166,30883598,16152942,79899255,13956103,210702,141102600,26023.62,21.90%,11.40%,56.60%,9.90%,0.10%,675194063,102395,A,92,21%,29%,24%,28%
852,4821390,21390,Granbury ISD,111901,111901,215301,66166,103731,7962,52369599,27068139,13798297,19180427,3439134,115855596,14170.74,45.20%,23.40%,11.90%,16.60%,3.00%,98972410,13944,B,83,40%,55%,44%,48%
853,4815210,15210,Coppell ISD,57922,57922,289764,69186,118508,13233,86797688,36998206,68274142,54949792,22360852,269380680,18415.08,32.20%,13.70%,25.30%,20.40%,8.30%,618768166,49609,A,93,16%,23%,17%,26%
854,4824420,24420,Irving ISD,57912,57912,348342,68108,111325,30767,194949219,134177089,98036767,94834371,0,521997446,16579.24,37.30%,25.70%,18.80%,18.20%,0.00%,818126858,27575,C,76,61%,71%,58%,71%
855,4817040,17040,Diboll ISD,3905,3905,175000,62491,91497,1582,11229290,8033778,1142761,5917876,0,26323705,16179.29,42.70%,30.50%,4.30%,22.50%,0.00%,25283306,18953,C,79,50%,64%,86%,58%
856,4846740,46740,Zavalla ISD,3906,3906,111940,55217,69188,303,2503298,1156387,300926,1517198,0,5477809,17118.15,45.70%,21.10%,5.50%,27.70%,0.00%,5454029,19204,C,71,53%,78%,80%,61%
857,4813020,13020,Carroll ISD,220919,220919,218427,64756,109934,8105,48520723,25927996,46528787,22922712,17973283,161873501,17354.1,30.00%,16.00%,28.70%,14.20%,11.10%,353654696,50754,A,95,8%,13%,12%,17%
858,4825260,25260,Keller ISD,220907,220907,275000,63324,113498,32042,195823350,91362066,147285639,111226525,0,545697580,16411.96,35.90%,16.70%,27.00%,20.40%,0.00%,1073853729,37270,B,85,32%,45%,34%,47%
859,4821660,21660,Grapevine-Colleyville ISD,220906,220906,354795,64884,109470,13541,89194813,47227280,52273653,37230476,29706703,255632925,16655.08,34.90%,18.50%,20.40%,14.60%,11.60%,363451213,30144,B,86,26%,38%,28%,38%
860,4833180,33180,Northwest ISD,61911,61911,390229,64743,108022,32098,173370074,81761200,458569898,81093057,857545,795651774,25858.74,21.80%,10.30%,57.60%,10.20%,0.10%,3727882154,118832,B,81,36%,51%,37%,46%
861,4811010,11010,Boyd ISD,249902,249902,137000,58761,91375,1386,7651848,4258314,4659705,4772304,0,21342171,16505.93,35.90%,20.00%,21.80%,22.40%,0.00%,19632975,15459,C,75,44%,65%,51%,63%
862,4844800,44800,Weatherford ISD,184903,184903,342700,63130,106574,8023,52422279,30744110,26164266,21667771,1057399,132055825,15969.58,39.70%,23.30%,19.80%,16.40%,0.80%,178505350,25388,C,77,46%,59%,44%,56%
863,4841280,41280,Springtown ISD,184902,184902,196000,62799,94915,4188,26579504,11092089,4320656,13408859,0,55401108,13282.45,48.00%,20.00%,7.80%,24.20%,0.00%,55353238,14628,C,76,53%,65%,57%,56%
864,4828920,28920,Mansfield ISD,220908,220908,365315,70400,109520,35354,207759983,131214379,92368787,87990563,0,519333712,14485.89,40.00%,25.30%,17.80%,16.90%,0.00%,1463517897,44955,B,87,38%,46%,42%,50%
865,4821420,21420,Grand Prairie ISD,57910,57910,266752,66503,114821,26129,159891063,110580279,57317806,78452146,0,406241294,15250.44,39.40%,27.20%,14.10%,19.30%,0.00%,444380232,20002,C,76,56%,64%,53%,67%
866,4845540,45540,White Settlement ISD,220920,220920,275862,64785,105952,6831,38493177,21499816,64105010,18125130,0,142223133,20627,27.10%,15.10%,45.10%,12.70%,0.00%,512433774,88964,C,73,51%,66%,55%,61%
867,4813170,13170,Castleberry ISD,220917,220917,209242,67825,103750,3851,28224329,19560969,9606947,11026404,0,68418649,18293.76,41.30%,28.60%,14.00%,16.10%,0.00%,47165602,14598,B,81,55%,66%,60%,68%
868,4824060,24060,Hurst-Euless-Bedford ISD,220916,220916,302940,68886,129249,23262,134925358,73396455,103456827,64795236,0,376573876,16213.46,35.80%,19.50%,27.50%,17.20%,0.00%,1354648450,62363,B,88,32%,40%,35%,43%
869,4826490,26490,Lake Worth ISD,220910,220910,227502,65183,110921,3249,22944371,16334712,9948056,11804563,0,61031702,18848.58,37.60%,26.80%,16.30%,19.30%,0.00%,110385730,43769,D,62,74%,84%,71%,82%
870,4807780,7780,Aledo ISD,184907,184907,311291,65360,103491,8430,46604887,23863545,84530051,38050800,716726,193766009,23655.1,24.10%,12.30%,43.60%,19.60%,0.40%,608932579,73163,A,92,23%,35%,29%,34%
871,4825500,25500,Kennedale ISD,220914,220914,195764,67211,98490,2754,17793828,10480147,8948384,23398171,0,60620530,21443.41,29.40%,17.30%,14.80%,38.60%,0.00%,93862866,38996,C,77,50%,64%,46%,53%
872,4809200,9200,Azle ISD,220915,220915,283250,65925,102118,7304,43689326,28544552,46277770,25132139,0,143643787,19900.77,30.40%,19.90%,32.20%,17.50%,0.00%,456583750,67893,C,78,43%,56%,45%,56%
873,4808700,8700,Arlington ISD,220901,220901,335002,69461,121602,53339,373719126,220662535,261586340,141925238,2153778,1000047017,18226.36,37.40%,22.10%,26.20%,14.20%,0.20%,1695774358,37464,C,76,57%,66%,56%,67%
874,4817700,17700,Eagle Mountain-Saginaw ISD,220918,220918,198657,64568,117327,23982,139053843,75994066,202810549,57656577,20483,475535518,20267.46,29.20%,16.00%,42.60%,12.10%,0.00%,0,0,C,78,46%,61%,48%,60%
875,4810230,10230,Birdville ISD,220902,220902,357322,66728,115814,22267,134487860,85890611,163380111,54116461,0,437875043,19707.23,30.70%,19.60%,37.30%,12.40%,0.00%,932478369,48635,C,79,45%,56%,48%,52%
876,4815910,15910,Crowley ISD,220912,220912,428581,66090,105983,17011,115374750,43158358,135141615,66744624,0,360419347,21256.15,32.00%,12.00%,37.50%,18.50%,0.00%,2179184761,139085,C,73,55%,72%,60%,69%
877,4818810,18810,Everman ISD,220904,220904,290000,67165,89251,5018,37155141,20531764,8556072,16943874,0,83186851,16187.36,44.70%,24.70%,10.30%,20.40%,0.00%,146779652,36750,C,72,66%,77%,62%,70%
878,4820960,20960,Godley ISD,126911,126911,253448,63908,97417,3195,20626573,15248162,59170393,7763991,0,102809119,34246.88,20.10%,14.80%,57.60%,7.60%,0.00%,398390938,126634,C,77,46%,61%,60%,54%
879,4819700,19700,Fort Worth ISD,220905,220905,270066,69118,111621,70405,472437304,324355773,274114956,228495678,4111116,1303514827,18286.01,36.20%,24.90%,21.00%,17.50%,0.30%,2468824288,42478,C,73,65%,74%,63%,76%
880,4812180,12180,Burleson ISD,126902,126902,326718,64864,107570,12759,73091756,42246766,35225605,33435330,0,183999457,14467.64,39.70%,23.00%,19.10%,18.20%,0.00%,377580731,33634,B,83,43%,53%,46%,49%
881,4824930,24930,Joshua ISD,126905,126905,208000,70100,95713,6026,38205327,21164064,6861395,16919996,0,83150782,13812.42,45.90%,25.50%,8.30%,20.30%,0.00%,117907129,20649,B,86,41%,46%,45%,45%
882,4826580,26580,Lamar Cons ISD,79901,79901,364971,69776,130597,46786,263417935,133131522,632456852,149067294,0,1178073603,26466.43,22.40%,11.30%,53.70%,12.70%,0.00%,5834636522,120913,B,88,34%,46%,38%,46%
883,4808310,8310,Angleton ISD,20902,20902,305,62382,306,7105,44402190,26724012,88379275,18940951,0,178446428,25247.09,24.90%,15.00%,49.50%,10.60%,0.00%,414169070,61186,B,82,45%,51%,56%,55%
884,4825170,25170,Katy ISD,101914,101914,396030,69235,124146,96111,664668681,293793246,442522861,187087754,0,1588072542,16754.47,41.90%,18.50%,27.90%,11.80%,0.00%,3749194192,39523,B,88,28%,37%,29%,35%
885,4808090,8090,Alvin ISD,20901,20901,334750,68830,111730,30038,186029434,99728327,147847549,83133514,0,516738824,17375.21,36.00%,19.30%,28.60%,16.10%,0.00%,1340018031,45480,B,84,40%,53%,46%,47%
886,4841350,41350,Stafford MSD,79910,79910,327113,67597,105795,3492,22450249,12079467,9343500,11235072,0,55108288,15840.27,40.70%,21.90%,17.00%,20.40%,0.00%,142543810,55421,C,78,50%,61%,52%,63%
887,4807830,7830,Alief ISD,101903,101903,314150,63822,112309,38610,303322501,172280898,108156881,99320510,0,683080790,17304.57,44.40%,25.20%,15.80%,14.50%,0.00%,497537161,15025,C,75,59%,67%,55%,67%
888,4823640,23640,Houston ISD,101912,101912,380000,73604,136437,176727,1247540762,777100896,547006147,770410194,0,3342057999,18152.61,37.30%,23.30%,16.40%,23.10%,0.00%,2573202694,17254,B,82,52%,59%,54%,62%
889,4819650,19650,Fort Bend ISD,79907,79907,410000,69752,129479,79663,485666624,285125637,216896549,187281575,0,1174970385,14649.41,41.30%,24.30%,18.50%,15.90%,0.00%,2709811538,36196,B,80,37%,49%,40%,50%
890,4808430,8430,Anthony ISD,71906,71906,157500,67299,102561,725,5490108,4691366,533724,3246014,0,13961212,18565.44,39.30%,33.60%,3.80%,23.30%,0.00%,3036731,4970,B,80,54%,59%,59%,60%
891,4812780,12780,Canutillo ISD,71907,71907,207285,64847,92994,5747,40655744,26413411,16846601,14410538,0,98326294,16654.18,41.30%,26.90%,17.10%,14.70%,0.00%,297037913,61652,C,78,47%,56%,46%,55%
892,4826370,26370,Lackland ISD,15913,15913,216320,69550,116398,1010,9595299,5973339,3345274,4167858,0,23081770,22301.23,41.60%,25.90%,14.50%,18.10%,0.00%,0,0,B,81,34%,52%,31%,53%
893,4840950,40950,Southwest ISD,15912,15912,278730,65805,98959,14833,93906980,63224201,50527721,42773277,0,250432179,17633.59,37.50%,25.20%,20.20%,17.10%,0.00%,655333763,46271,C,77,56%,72%,57%,71%
894,4835190,35190,Pleasanton ISD,7905,7905,176864,70713,96970,3406,25108680,15307195,7536855,11633760,0,59586490,17712.99,42.10%,25.70%,12.60%,19.50%,0.00%,54816075,19825,C,74,56%,68%,51%,58%
895,4840740,40740,Somerset ISD,15909,15909,225000,63507,98983,4259,24317423,20118314,6008109,19659763,0,70103609,16487.21,34.70%,28.70%,8.60%,28.00%,0.00%,60997666,16193,B,84,45%,50%,52%,56%
