FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
83,4830180,30180,Memphis ISD,96904,96904,112687,58949,90002,345,4171995,2488095,2750752,2042950,0,11453792,28634.48,36.40%,21.70%,24.00%,17.80%,0.00%,0,0,B,88,47%,49%,55%,69%
84,4807500,7500,Adrian ISD,180903,180903,80000,51879,82397,141,1069666,712173,632762,877444,0,3292045,28137.14,32.50%,21.60%,19.20%,26.70%,0.00%,2417450,24668,B,83,47%,68%,47%,57%
85,4800002,2,Spur ISD,63903,63903,108315,51633,72776,192,1651898,1051450,692087,1492079,0,4887514,23841.53,33.80%,21.50%,14.20%,30.50%,0.00%,1127875,8233,B,89,42%,62%,55%,72%
86,4834380,34380,Patton Springs ISD,63906,63906,807823,52659,80997,88,877523,621031,32263,896558,855244,3282619,31939.14,26.70%,18.90%,1.00%,27.30%,26.10%,0,0,A,90,42%,43%,64%,60%
87,4832880,32880,Nordheim ISD,62902,62902,127360,52529,87600,116,1322450,680902,4399206,1102924,9048640,16554122,59567.32,8.00%,4.10%,26.60%,6.70%,54.70%,6632000,70553,B,84,30%,60%,62%,52%
88,4846650,46650,Yorktown ISD,62904,62904,125000,57824,95000,574,4394296,2446637,0,2450200,12770925,22062058,17174,19.90%,11.10%,0.00%,11.10%,57.90%,0,0,B,82,45%,61%,62%,53%
89,4845240,45240,Westhoff ISD,62905,62905,498516,72084,498516,85,811520,635314,39474,613640,6501492,8601440,23863.05,9.40%,7.40%,0.50%,7.10%,75.60%,0,0,B,86,17%,19%,50%,35%
90,4816950,16950,Devine ISD,163901,163901,152500,60845,92166,1972,10384965,6377803,1866188,5760552,0,24389508,12293.1,42.60%,26.10%,7.70%,23.60%,0.00%,31927141,18234,D,68,55%,62%,47%,63%
91,4819110,19110,Farwell ISD,185902,185902,120000,54172,95053,599,4628845,2077866,753781,2988390,0,10448882,17270.88,44.30%,19.90%,7.20%,28.60%,0.00%,8876191,15993,A,90,30%,34%,48%,47%
92,4823760,23760,Huckabay ISD,72908,72908,135000,58029,91837,327,2159843,868453,699887,1336758,0,5064941,15348.31,42.60%,17.10%,13.80%,26.40%,0.00%,10858908,34473,A,94,32%,40%,45%,41%
93,4817580,17580,Dublin ISD,72902,72902,145000,49863,83120,1125,6298079,4295046,1347550,5916436,0,17857111,15582.12,35.30%,24.10%,7.50%,33.10%,0.00%,5108706,4722,B,88,38%,45%,38%,49%
94,4831410,31410,Morgan Mill ISD,72910,72910,94514,46388,75446,127,1103535,378677,0,790395,0,2272607,18627.93,48.60%,16.70%,0.00%,34.80%,0.00%,0,0,C,78,47%,67%,101%,62%
95,4817790,17790,Early ISD,25909,25909,120332,52739,82155,1067,7274002,3118417,1649040,3968499,0,16009958,14436.39,45.40%,19.50%,10.30%,24.80%,0.00%,18269025,20412,B,80,31%,41%,30%,45%
96,4810380,10380,Blanket ISD,25904,25904,80325,51805,85680,166,1166844,771261,75803,1192840,0,3206748,22905.34,36.40%,24.10%,2.40%,37.20%,0.00%,515687,4125,D,63,58%,83%,67%,74%
97,4811700,11700,Brownwood ISD,25902,25902,211150,55452,83109,3393,23789132,11216753,16169218,10157846,0,61332949,17824.16,38.80%,18.30%,26.40%,16.60%,0.00%,98319613,36081,C,74,48%,55%,51%,57%
98,4808550,8550,Rockport-Fulton ISD,4901,4901,187200,57857,99667,2913,19877310,11610053,22022051,13520065,4947230,71976709,22584.06,27.60%,16.10%,30.60%,18.80%,6.90%,126575571,52282,C,70,54%,68%,40%,67%
99,4832130,32130,Natalia ISD,163903,163903,168000,58832,88533,1315,7805007,5610627,984391,5884530,0,20284555,15997.28,38.50%,27.70%,4.90%,29.00%,0.00%,13655299,10353,F,59,61%,75%,63%,72%
100,4838970,38970,San Marcos Cons ISD,105902,105902,267344,60048,112204,8222,54228052,33897871,46806771,21393468,0,156326162,18809.55,34.70%,21.70%,29.90%,13.70%,0.00%,481555037,65536,C,76,59%,72%,52%,70%
101,4836180,36180,Quanah ISD,99903,99903,116168,49953,86649,434,4691521,2976180,367526,2541478,0,10576705,22551.61,44.40%,28.10%,3.50%,24.00%,0.00%,0,0,C,79,43%,64%,40%,59%
102,4828350,28350,Louise ISD,241906,241906,130460,62171,85736,535,3814466,2385691,127909,2572894,0,8900960,17084.38,42.90%,26.80%,1.40%,28.90%,0.00%,860475,1965,B,84,46%,54%,56%,72%
103,4817160,17160,Dimmitt ISD,35901,35901,161000,54211,95551,1077,7233949,4828210,2656592,4207347,0,18926098,17395.31,38.20%,25.50%,14.00%,22.20%,0.00%,38992758,42849,C,74,59%,69%,71%,68%
104,4824660,24660,Jayton-Girard ISD,132902,132902,119375,63005,98000,169,1678491,1305552,4538196,1571686,1301985,10395910,51378.11,16.10%,12.60%,43.70%,15.10%,12.50%,0,0,A,93,20%,35%,60%,45%
105,4819980,19980,Friona ISD,185903,185903,129723,56494,77619,1016,6707836,4682321,2085185,4864696,0,18340038,17980.43,36.60%,25.50%,11.40%,26.50%,0.00%,18407326,22923,C,77,56%,81%,61%,66%
106,4813740,13740,Cherokee ISD,206903,206903,98000,63196,70732,123,1414718,706526,326718,761814,0,3209776,24690.58,44.10%,22.00%,10.20%,23.70%,0.00%,0,0,B,88,32%,47%,53%,42%
107,4837080,37080,Richland Springs ISD,206902,206902,112100,53244,87870,120,1141814,860775,156325,1160692,0,3319606,23711.47,34.40%,25.90%,4.70%,35.00%,0.00%,3342980,27179,B,86,44%,66%,62%,60%
108,4835370,35370,Port Aransas ISD,178908,178908,158167,65867,102906,585,4449709,3028773,6731343,4238713,29337649,47786187,35006.71,9.30%,6.30%,14.10%,8.90%,61.40%,52000063,122642,B,86,24%,40%,29%,27%
109,4807530,7530,Agua Dulce ISD,178901,178901,85933,56386,80703,421,2852005,1554868,754057,2245931,0,7406861,18943.38,38.50%,21.00%,10.20%,30.30%,0.00%,5504000,14756,C,78,38%,68%,36%,59%
110,4810260,10260,Bishop Cons ISD,178902,178902,193475,57666,97480,1463,9532636,6359685,2534806,6576412,0,25003539,18357.96,38.10%,25.40%,10.10%,26.30%,0.00%,36154535,31770,A,91,36%,43%,35%,45%
111,4843350,43350,Tuloso-Midway ISD,178912,178912,195300,59814,92692,3671,21748713,12003991,16365050,16242948,933150,67293852,18251.02,32.30%,17.80%,24.30%,24.10%,1.40%,128650813,39355,B,81,45%,62%,46%,60%
112,4832010,32010,Murchison ISD,107908,107908,123764,57438,65007,169,1430058,738435,209701,1152779,0,3530973,20770.43,40.50%,20.90%,5.90%,32.60%,0.00%,0,0,C,77,59%,62%,67%,91%
113,4817550,17550,Driscoll ISD,178905,178905,147860,63306,89999,398,2390158,1413067,449721,1719153,0,5972099,17565,40.00%,23.70%,7.50%,28.80%,0.00%,8567567,19741,B,86,35%,54%,78%,62%
114,4837440,37440,Robstown ISD,178909,178909,190000,60168,95507,2570,14940029,11564210,7748194,11030025,0,45282458,18055.21,33.00%,25.50%,17.10%,24.40%,0.00%,59703281,26966,D,68,67%,77%,77%,81%
115,4845120,45120,West Oso ISD,178915,178915,161600,58211,92500,1778,11782793,7063967,2758506,8293499,0,29898765,15670.21,39.40%,23.60%,9.20%,27.70%,0.00%,35752363,24011,C,75,62%,69%,52%,68%
116,4819380,19380,Flour Bluff ISD,178914,178914,242872,59804,96797,5559,30138522,18924212,6505296,17341894,0,72909924,12870.24,41.30%,26.00%,8.90%,23.80%,0.00%,60596947,12023,B,85,33%,45%,37%,40%
117,4820040,20040,Frost ISD,175905,175905,135000,61168,78888,462,3398295,2061056,792851,2675428,0,8927630,18874.48,38.10%,23.10%,8.90%,30.00%,0.00%,7143500,16347,C,75,52%,71%,61%,70%
