57903,CARROLLTON-FARMERS BRANCH ISD,24386,24747,24939,25297
57904,CEDAR HILL ISD,6336,6920,7120,7875
57905,DALLAS ISD,139246,141169,143558,156832
57906,DESOTO ISD,5995,6322,7344,9657
57907,DUNCANVILLE ISD,11761,11915,11946,12866
57909,GARLAND ISD,51659,52767,53674,56582
57910,GRAND PRAIRIE ISD,26638,27019,27420,29362
57911,HIGHLAND PARK ISD,6437,6551,6724,6991
57912,IRVING ISD,31485,31767,32378,33971
57913,LANCASTER ISD,7014,7032,7096,7371
57914,MESQUITE ISD,38265,38356,38378,41022
57916,RICHARDSON ISD,37085,37260,37633,39314
57919,SUNNYVALE ISD,2317,2205,2111,1813
57922,COPPELL ISD,13414,13361,13131,12625
58902,DAWSON ISD,132,139,149,130
58905,KLONDIKE ISD,253,254,260,246
58906,LAMESA ISD,1520,1588,1610,1921
58909,SANDS CISD,246,240,249,245
59901,HEREFORD ISD,3950,3952,3967,4193
59902,WALCOTT ISD,144,148,152,125
60902,COOPER ISD,878,888,849,822
60914,FANNINDEL ISD,139,147,148,174
61802,NORTH TEXAS COLLEGIATE ACADEMY,764,761,695,509
61804,LEADERSHIP PREP SCHOOL,1379,1351,1344,1099
61805,TRIVIUM ACADEMY,661,621,553,522
61901,DENTON ISD,32866,32521,31951,29420
61902,LEWISVILLE ISD,48440,49060,49205,52472
61903,PILOT POINT ISD,1551,1483,1432,1401
61905,KRUM ISD,2483,2298,2217,2123
61906,PONDER ISD,1677,1640,1582,1414
61907,AUBREY ISD,4000,3538,3112,2495
61908,SANGER ISD,2810,2801,2750,2726
61910,ARGYLE ISD,5414,4966,4338,2716
61911,NORTHWEST ISD,30736,29248,27583,23141
61912,LAKE DALLAS ISD,3811,3900,4004,3964
61914,LITTLE ELM ISD,8211,8351,8287,7526
62901,CUERO ISD,1905,1937,1928,2047
62902,NORDHEIM ISD,126,131,149,157
62903,YOAKUM ISD,1498,1546,1507,1617
62904,YORKTOWN ISD,541,536,538,535
62905,WESTHOFF ISD,88,81,71,80
62906,MEYERSVILLE ISD,155,150,145,120
63903,SPUR ISD,205,225,221,261
63906,PATTON SPRINGS ISD,76,77,86,96
64903,CARRIZO SPRINGS CISD,1915,1903,1923,2211
65901,CLARENDON ISD,417,434,456,473
65902,HEDLEY ISD,101,117,124,103
66005,RAMIREZ CSD,22,21,26,33
66901,BENAVIDES ISD,445,353,233,340
66902,SAN DIEGO ISD,1513,1495,1453,1460
66903,FREER ISD,706,734,760,807
67902,CISCO ISD,825,829,814,855
67903,EASTLAND ISD,1067,1057,1084,1184
67904,GORMAN ISD,247,253,265,306
67907,RANGER ISD,295,323,336,343
67908,RISING STAR ISD,194,183,191,154
68802,COMPASS ACADEMY CHARTER SCHOOL,1448,1399,1371,1027
68901,ECTOR COUNTY ISD,33426,33340,31810,32267
69901,ROCKSPRINGS ISD,211,237,257,313
69902,NUECES CANYON CISD,239,248,254,275
70801,FAITH FAMILY ACADEMY,2882,2768,2586,2541
70901,AVALON ISD,349,337,340,399
70903,ENNIS ISD,6466,6185,6013,5808
70905,FERRIS ISD,2877,2716,2630,2708
70907,ITALY ISD,628,634,647,628
70908,MIDLOTHIAN ISD,11103,10990,10431,8872
70909,MILFORD ISD,261,247,238,273
70910,PALMER ISD,1338,1304,1256,1215
70911,RED OAK ISD,6592,6499,6296,5810
70912,WAXAHACHIE ISD,11052,10837,10095,8517
70915,MAYPEARL ISD,1224,1212,1178,1187
71801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,1659,1359,1376,832
71803,TRIUMPH PUBLIC HIGH SCHOOLS-WEST TEXAS,237,188,198,217
71804,EL PASO ACADEMY,381,384,272,453
71806,HARMONY PUBLIC SCHOOLS - WEST TEXAS,5297,4967,4573,3463
71807,LA FE PREPARATORY SCHOOL,193,184,190,249
71809,VISTA DEL FUTURO CHARTER SCHOOL,338,332,340,338
71810,EL PASO LEADERSHIP ACADEMY,795,594,266,192
71901,CLINT ISD,10260,10365,10494,11521
71902,EL PASO ISD,49139,50031,50769,58326
71903,FABENS ISD,1908,1931,1991,2287
71904,SAN ELIZARIO ISD,3009,3177,3193,3799
71905,YSLETA ISD,34918,36183,37244,41204
71906,ANTHONY ISD,752,781,798,839
71907,CANUTILLO ISD,5904,6076,6091,6219
71908,TORNILLO ISD,762,829,889,1114
71909,SOCORRO ISD,47304,47843,47278,46543
72801,PREMIER HIGH SCHOOLS,7851,7117,6834,7236
72802,ERATH EXCELS ACADEMY INC,113,103,94,115
72901,THREE WAY ISD,205,233,237,142
