State,Region,County,District,District Name,Charter Status,Superintendent,Base Pay,FTE Salary,Enrollment,FTE
TX,7,ANDERSON COUNTY,1902,CAYUGA ISD,TRADITIONAL ISD/CSD,"SATTERWHITE, JOE E","$98,000.00","$98,000.00",577,1
TX,15,SAN SABA COUNTY,206903,CHEROKEE ISD,TRADITIONAL ISD/CSD,"BORDNER, JENNIFER LYNN","$76,724.00","$98,000.00",123,0.78
TX,3,LAVACA COUNTY,143904,VYSEHRAD ISD,TRADITIONAL ISD/CSD,"ROBERTSON, RACHEL SUE BLUM","$49,000.00","$98,000.00",74,0.5
TX,1,HIDALGO COUNTY,108907,MERCEDES ISD,TRADITIONAL ISD/CSD,"GONZALES, JEANNE","$97,989.00","$97,989.00",4207,1
TX,8,CASS COUNTY,34906,MCLEOD ISD,TRADITIONAL ISD/CSD,"LANCE, JENNIFER D","$97,880.00","$97,880.00",424,1
TX,1,STARR COUNTY,214901,RIO GRANDE CITY GRULLA ISD,TRADITIONAL ISD/CSD,"VILLARREAL-MORRIS, ELSA","$72,218.00","$97,856.00",9316,0.74
TX,12,BOSQUE COUNTY,18906,IREDELL ISD,TRADITIONAL ISD/CSD,"MORROW, CHRISTOPHER A","$97,850.00","$97,850.00",144,1
TX,11,PALO PINTO COUNTY,182901,GORDON ISD,TRADITIONAL ISD/CSD,"CAMPBELL, HOLLY MARIE","$97,830.00","$97,830.00",227,1
TX,9,MONTAGUE COUNTY,169906,GOLD BURG ISD,TRADITIONAL ISD/CSD,"LLOYD, JONATHAN OWEN","$97,750.00","$97,750.00",148,1
TX,7,CHEROKEE COUNTY,37909,WELLS ISD,TRADITIONAL ISD/CSD,"WRIGHT, JIMMY FRIDAY","$97,500.00","$97,500.00",239,1
TX,8,CASS COUNTY,34907,QUEEN CITY ISD,TRADITIONAL ISD/CSD,"HENDERSON, SHANNON ANN","$97,392.00","$97,392.00",867,1
TX,2,JIM WELLS COUNTY,125906,LA GLORIA ISD,TRADITIONAL ISD/CSD,"MARTINEZ, GUADALUPE TOMAS","$48,500.00","$97,000.00",119,0.5
TX,9,CLAY COUNTY,39905,MIDWAY ISD,TRADITIONAL ISD/CSD,"BEAVER, RANDEL RAY","$57,000.00","$96,906.00",137,0.59
TX,16,SHERMAN COUNTY,211901,TEXHOMA ISD,TRADITIONAL ISD/CSD,"YATES, KAYLA LEE","$96,700.00","$96,700.00",142,1
TX,17,KING COUNTY,135001,GUTHRIE CSD,TRADITIONAL ISD/CSD,"SHARP, HIRAM EDWIN","$96,000.00","$96,000.00",93,1
TX,12,BOSQUE COUNTY,18902,MERIDIAN ISD,TRADITIONAL ISD/CSD,"DAVIS, DANA L","$96,000.00","$96,000.00",382,1
TX,16,DEAF SMITH COUNTY,59902,WALCOTT ISD,TRADITIONAL ISD/CSD,"BRYANT, DARLA L","$95,770.00","$96,000.00",146,1
TX,3,WHARTON COUNTY,241904,WHARTON ISD,TRADITIONAL ISD/CSD,"O'GUIN, MICHAEL J","$95,376.00","$95,376.00",1767,1
TX,16,CASTRO COUNTY,35902,HART ISD,TRADITIONAL ISD/CSD,"DOMINGUEZ, JUAN ANTONIO","$95,000.00","$95,000.00",206,1
TX,11,ERATH COUNTY,72910,MORGAN MILL ISD,TRADITIONAL ISD/CSD,"SANDERS, WENDY NICOLE","$47,257.00","$94,514.00",127,0.5
TX,16,GRAY COUNTY,90903,MCLEAN ISD,TRADITIONAL ISD/CSD,"JAMES, JOHNNY R","$94,000.00","$94,000.00",182,1
TX,1,STARR COUNTY,214902,SAN ISIDRO ISD,TRADITIONAL ISD/CSD,"ELLIS, ROGER WILLIAM","$37,500.00","$93,493.00",153,0.4
TX,16,CARSON COUNTY,33901,GROOM ISD,TRADITIONAL ISD/CSD,"LAMB, JAY S","$82,363.00","$93,488.00",130,0.88
TX,18,WARD COUNTY,238904,GRANDFALLS-ROYALTY ISD,TRADITIONAL ISD/CSD,"WOLFENBARGER, ORLIE KENNETH","$46,722.00","$93,444.00",157,0.5
TX,7,HENDERSON COUNTY,107907,TRINIDAD ISD,TRADITIONAL ISD/CSD,"MIZELL, MATTHEW SCOTT","$93,000.00","$93,000.00",173,1
TX,15,COLEMAN COUNTY,42903,SANTA ANNA ISD,TRADITIONAL ISD/CSD,"WHITE, THOMAS TODD","$40,619.00","$91,505.00",259,0.44
TX,11,COOKE COUNTY,49908,WALNUT BEND ISD,TRADITIONAL ISD/CSD,"KEMP, KENYON S","$45,700.00","$91,400.00",73,0.5
TX,10,COLLIN COUNTY,43902,ANNA ISD,TRADITIONAL ISD/CSD,"TOWNSEND, RODDY BRENT","$70,200.00","$91,157.00",6038,0.77
TX,9,CLAY COUNTY,39904,BELLEVUE ISD,TRADITIONAL ISD/CSD,"WESLEY, DEVIN WADE","$90,825.00","$90,825.00",234,1
TX,16,LIPSCOMB COUNTY,148905,DARROUZETT ISD,TRADITIONAL ISD/CSD,"WEINETTE, JESSICA LYNN","$63,350.00","$90,500.00",86,0.7
TX,16,GRAY COUNTY,90905,GRANDVIEW-HOPKINS ISD,TRADITIONAL ISD/CSD,"HARGIS, ELVIN KENT","$45,000.00","$90,000.00",49,0.5
TX,14,COMANCHE COUNTY,47905,SIDNEY ISD,TRADITIONAL ISD/CSD,"RUCKER, JAMES EDWIN","$28,926.00","$90,000.00",106,0.32
TX,3,LAVACA COUNTY,143905,SWEET HOME ISD,TRADITIONAL ISD/CSD,"POHL, CANDACE M","$12,861.00","$90,000.00",155,0.14
TX,8,CASS COUNTY,34902,AVINGER ISD,TRADITIONAL ISD/CSD,"SMITH, JACQUELYN R","$89,600.00","$89,600.00",112,1
TX,18,PECOS COUNTY,186901,BUENA VISTA ISD,TRADITIONAL ISD/CSD,"STARKWEATHER, BRETT ALAN","$29,524.00","$88,581.00",220,0.33
TX,12,LAMPASAS COUNTY,141902,LOMETA ISD,TRADITIONAL ISD/CSD,"MOORE, ROBBY L","$8,571.00","$88,179.00",316,0.1
TX,3,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,"VELA, DOLORES BERNAL","$87,826.00","$87,826.00",141,1
TX,6,POLK COUNTY,187910,ONALASKA ISD,TRADITIONAL ISD/CSD,"FRAGA, KENNETH CHARLES","$87,812.00","$87,812.00",1196,1
TX,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,"CANTU, DAVID","$85,933.00","$85,933.00",421,1
TX,14,EASTLAND COUNTY,67908,RISING STAR ISD,TRADITIONAL ISD/CSD,"JONES, MONTY O","$85,500.00","$85,500.00",181,1
